sample_id,source_dataset,sample_role,subject_id,source_subject_id,local_subject_id,source_sequence_id,sequence_id,frame_dir,path_status,frame_count,frame_extension
casme2__sub03__EP19_08,casme2,classification,sub03,sub03,sub03,EP19_08,EP19_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub03/EP19_08,available,41,.jpg
casme2__sub04__EP12_02f,casme2,classification,sub04,sub04,sub04,EP12_02f,EP12_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub04/EP12_02f,available,51,.jpg
casme2__sub04__EP13_06f,casme2,classification,sub04,sub04,sub04,EP13_06f,EP13_06f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub04/EP13_06f,available,40,.jpg
casme2__sub05__EP02_07,casme2,classification,sub05,sub05,sub05,EP02_07,EP02_07,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP02_07,available,44,.jpg
casme2__sub05__EP03_01,casme2,classification,sub05,sub05,sub05,EP03_01,EP03_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP03_01,available,61,.jpg
casme2__sub05__EP03_06,casme2,classification,sub05,sub05,sub05,EP03_06,EP03_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP03_06,available,37,.jpg
casme2__sub05__EP04_05,casme2,classification,sub05,sub05,sub05,EP04_05,EP04_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP04_05,available,44,.jpg
casme2__sub05__EP04_06,casme2,classification,sub05,sub05,sub05,EP04_06,EP04_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP04_06,available,37,.jpg
casme2__sub05__EP12_03f,casme2,classification,sub05,sub05,sub05,EP12_03f,EP12_03f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub05/EP12_03f,available,44,.jpg
casme2__sub06__EP01_01,casme2,classification,sub06,sub06,sub06,EP01_01,EP01_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub06/EP01_01,available,50,.jpg
casme2__sub06__EP02_31,casme2,classification,sub06,sub06,sub06,EP02_31,EP02_31,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub06/EP02_31,available,44,.jpg
casme2__sub06__EP15_02,casme2,classification,sub06,sub06,sub06,EP15_02,EP15_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub06/EP15_02,available,44,.jpg
casme2__sub06__EP16_05,casme2,classification,sub06,sub06,sub06,EP16_05,EP16_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub06/EP16_05,available,55,.jpg
casme2__sub07__EP01_01,casme2,classification,sub07,sub07,sub07,EP01_01,EP01_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub07/EP01_01,available,55,.jpg
casme2__sub07__EP06_02_01,casme2,classification,sub07,sub07,sub07,EP06_02_01,EP06_02_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub07/EP06_02_01,available,55,.jpg
casme2__sub07__EP06_02_02,casme2,classification,sub07,sub07,sub07,EP06_02_02,EP06_02_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub07/EP06_02_02,available,44,.jpg
casme2__sub07__EP08_02,casme2,classification,sub07,sub07,sub07,EP08_02,EP08_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub07/EP08_02,available,47,.jpg
casme2__sub07__EP15_01,casme2,classification,sub07,sub07,sub07,EP15_01,EP15_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub07/EP15_01,available,44,.jpg
casme2__sub08__EP13_01f,casme2,classification,sub08,sub08,sub08,EP13_01f,EP13_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub08/EP13_01f,available,61,.jpg
casme2__sub09__EP02_01f,casme2,classification,sub09,sub09,sub09,EP02_01f,EP02_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP02_01f,available,50,.jpg
casme2__sub09__EP05_05,casme2,classification,sub09,sub09,sub09,EP05_05,EP05_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP05_05,available,51,.jpg
casme2__sub09__EP06_01f,casme2,classification,sub09,sub09,sub09,EP06_01f,EP06_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP06_01f,available,55,.jpg
casme2__sub09__EP06_02f,casme2,classification,sub09,sub09,sub09,EP06_02f,EP06_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP06_02f,available,55,.jpg
casme2__sub09__EP09_04,casme2,classification,sub09,sub09,sub09,EP09_04,EP09_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP09_04,available,55,.jpg
casme2__sub09__EP09_05,casme2,classification,sub09,sub09,sub09,EP09_05,EP09_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP09_05,available,51,.jpg
casme2__sub09__EP09f,casme2,classification,sub09,sub09,sub09,EP09f,EP09f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP09f,available,44,.jpg
casme2__sub09__EP13_01,casme2,classification,sub09,sub09,sub09,EP13_01,EP13_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP13_01,available,55,.jpg
casme2__sub09__EP15_05,casme2,classification,sub09,sub09,sub09,EP15_05,EP15_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP15_05,available,44,.jpg
casme2__sub09__EP17_08,casme2,classification,sub09,sub09,sub09,EP17_08,EP17_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub09/EP17_08,available,55,.jpg
casme2__sub11__EP08_01f,casme2,classification,sub11,sub11,sub11,EP08_01f,EP08_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub11/EP08_01f,available,44,.jpg
casme2__sub11__EP13_02f,casme2,classification,sub11,sub11,sub11,EP13_02f,EP13_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub11/EP13_02f,available,38,.jpg
casme2__sub11__EP13_03f,casme2,classification,sub11,sub11,sub11,EP13_03f,EP13_03f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub11/EP13_03f,available,41,.jpg
casme2__sub11__EP13_05f,casme2,classification,sub11,sub11,sub11,EP13_05f,EP13_05f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub11/EP13_05f,available,44,.jpg
casme2__sub12__EP01_02,casme2,classification,sub12,sub12,sub12,EP01_02,EP01_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP01_02,available,39,.jpg
casme2__sub12__EP02_05,casme2,classification,sub12,sub12,sub12,EP02_05,EP02_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP02_05,available,39,.jpg
casme2__sub12__EP03_04,casme2,classification,sub12,sub12,sub12,EP03_04,EP03_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP03_04,available,61,.jpg
casme2__sub12__EP04_16,casme2,classification,sub12,sub12,sub12,EP04_16,EP04_16,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP04_16,available,55,.jpg
casme2__sub12__EP06_06,casme2,classification,sub12,sub12,sub12,EP06_06,EP06_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP06_06,available,49,.jpg
casme2__sub12__EP08_01,casme2,classification,sub12,sub12,sub12,EP08_01,EP08_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP08_01,available,47,.jpg
casme2__sub12__EP08_03,casme2,classification,sub12,sub12,sub12,EP08_03,EP08_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP08_03,available,44,.jpg
casme2__sub12__EP08_07,casme2,classification,sub12,sub12,sub12,EP08_07,EP08_07,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP08_07,available,44,.jpg
casme2__sub12__EP09_02,casme2,classification,sub12,sub12,sub12,EP09_02,EP09_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP09_02,available,50,.jpg
casme2__sub12__EP09_06,casme2,classification,sub12,sub12,sub12,EP09_06,EP09_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP09_06,available,46,.jpg
casme2__sub12__EP16_02,casme2,classification,sub12,sub12,sub12,EP16_02,EP16_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub12/EP16_02,available,44,.jpg
casme2__sub13__EP03_01,casme2,classification,sub13,sub13,sub13,EP03_01,EP03_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub13/EP03_01,available,33,.jpg
casme2__sub13__EP09_10,casme2,classification,sub13,sub13,sub13,EP09_10,EP09_10,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub13/EP09_10,available,39,.jpg
casme2__sub14__EP09_03,casme2,classification,sub14,sub14,sub14,EP09_03,EP09_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub14/EP09_03,available,36,.jpg
casme2__sub14__EP09_04,casme2,classification,sub14,sub14,sub14,EP09_04,EP09_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub14/EP09_04,available,44,.jpg
casme2__sub14__EP09_06,casme2,classification,sub14,sub14,sub14,EP09_06,EP09_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub14/EP09_06,available,44,.jpg
casme2__sub15__EP03_02,casme2,classification,sub15,sub15,sub15,EP03_02,EP03_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub15/EP03_02,available,55,.jpg
casme2__sub15__EP04_02,casme2,classification,sub15,sub15,sub15,EP04_02,EP04_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub15/EP04_02,available,55,.jpg
casme2__sub15__EP08_02,casme2,classification,sub15,sub15,sub15,EP08_02,EP08_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub15/EP08_02,available,39,.jpg
casme2__sub16__EP01_05,casme2,classification,sub16,sub16,sub16,EP01_05,EP01_05,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub16/EP01_05,available,56,.jpg
casme2__sub16__EP01_08,casme2,classification,sub16,sub16,sub16,EP01_08,EP01_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub16/EP01_08,available,24,.jpg
casme2__sub16__EP04_02f,casme2,classification,sub16,sub16,sub16,EP04_02f,EP04_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub16/EP04_02f,available,61,.jpg
casme2__sub17__EP01_06,casme2,classification,sub17,sub17,sub17,EP01_06,EP01_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP01_06,available,41,.jpg
casme2__sub17__EP01_13,casme2,classification,sub17,sub17,sub17,EP01_13,EP01_13,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP01_13,available,49,.jpg
casme2__sub17__EP01_15,casme2,classification,sub17,sub17,sub17,EP01_15,EP01_15,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP01_15,available,41,.jpg
casme2__sub17__EP02_01,casme2,classification,sub17,sub17,sub17,EP02_01,EP02_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP02_01,available,46,.jpg
casme2__sub17__EP02_03,casme2,classification,sub17,sub17,sub17,EP02_03,EP02_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP02_03,available,44,.jpg
casme2__sub17__EP02_11,casme2,classification,sub17,sub17,sub17,EP02_11,EP02_11,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP02_11,available,36,.jpg
casme2__sub17__EP02_18f,casme2,classification,sub17,sub17,sub17,EP02_18f,EP02_18f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP02_18f,available,59,.jpg
casme2__sub17__EP03_02,casme2,classification,sub17,sub17,sub17,EP03_02,EP03_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP03_02,available,44,.jpg
casme2__sub17__EP03_09,casme2,classification,sub17,sub17,sub17,EP03_09,EP03_09,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP03_09,available,44,.jpg
casme2__sub17__EP05_02,casme2,classification,sub17,sub17,sub17,EP05_02,EP05_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_02,available,33,.jpg
casme2__sub17__EP05_03,casme2,classification,sub17,sub17,sub17,EP05_03,EP05_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_03,available,44,.jpg
casme2__sub17__EP05_03f,casme2,classification,sub17,sub17,sub17,EP05_03f,EP05_03f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_03f,available,35,.jpg
casme2__sub17__EP05_04,casme2,classification,sub17,sub17,sub17,EP05_04,EP05_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_04,available,36,.jpg
casme2__sub17__EP05_09,casme2,classification,sub17,sub17,sub17,EP05_09,EP05_09,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_09,available,44,.jpg
casme2__sub17__EP05_10,casme2,classification,sub17,sub17,sub17,EP05_10,EP05_10,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP05_10,available,41,.jpg
casme2__sub17__EP06_04,casme2,classification,sub17,sub17,sub17,EP06_04,EP06_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP06_04,available,40,.jpg
casme2__sub17__EP06_07,casme2,classification,sub17,sub17,sub17,EP06_07,EP06_07,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP06_07,available,31,.jpg
casme2__sub17__EP06_08,casme2,classification,sub17,sub17,sub17,EP06_08,EP06_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP06_08,available,44,.jpg
casme2__sub17__EP07_01,casme2,classification,sub17,sub17,sub17,EP07_01,EP07_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP07_01,available,44,.jpg
casme2__sub17__EP08_02,casme2,classification,sub17,sub17,sub17,EP08_02,EP08_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP08_02,available,42,.jpg
casme2__sub17__EP10_06,casme2,classification,sub17,sub17,sub17,EP10_06,EP10_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP10_06,available,44,.jpg
casme2__sub17__EP11_01,casme2,classification,sub17,sub17,sub17,EP11_01,EP11_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP11_01,available,45,.jpg
casme2__sub17__EP11_02,casme2,classification,sub17,sub17,sub17,EP11_02,EP11_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP11_02,available,38,.jpg
casme2__sub17__EP12_03,casme2,classification,sub17,sub17,sub17,EP12_03,EP12_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP12_03,available,54,.jpg
casme2__sub17__EP13_03,casme2,classification,sub17,sub17,sub17,EP13_03,EP13_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP13_03,available,36,.jpg
casme2__sub17__EP13_04,casme2,classification,sub17,sub17,sub17,EP13_04,EP13_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP13_04,available,36,.jpg
casme2__sub17__EP13_06,casme2,classification,sub17,sub17,sub17,EP13_06,EP13_06,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP13_06,available,44,.jpg
casme2__sub17__EP13_09,casme2,classification,sub17,sub17,sub17,EP13_09,EP13_09,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP13_09,available,55,.jpg
casme2__sub17__EP15_04,casme2,classification,sub17,sub17,sub17,EP15_04,EP15_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP15_04,available,44,.jpg
casme2__sub17__EP16_01f,casme2,classification,sub17,sub17,sub17,EP16_01f,EP16_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP16_01f,available,38,.jpg
casme2__sub17__EP18_07,casme2,classification,sub17,sub17,sub17,EP18_07,EP18_07,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub17/EP18_07,available,37,.jpg
casme2__sub19__EP01_01f,casme2,classification,sub19,sub19,sub19,EP01_01f,EP01_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP01_01f,available,43,.jpg
casme2__sub19__EP01_02f,casme2,classification,sub19,sub19,sub19,EP01_02f,EP01_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP01_02f,available,47,.jpg
casme2__sub19__EP02_01,casme2,classification,sub19,sub19,sub19,EP02_01,EP02_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP02_01,available,44,.jpg
casme2__sub19__EP06_01f,casme2,classification,sub19,sub19,sub19,EP06_01f,EP06_01f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP06_01f,available,43,.jpg
casme2__sub19__EP08_02,casme2,classification,sub19,sub19,sub19,EP08_02,EP08_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP08_02,available,44,.jpg
casme2__sub19__EP11_04f,casme2,classification,sub19,sub19,sub19,EP11_04f,EP11_04f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP11_04f,available,28,.jpg
casme2__sub19__EP13_01,casme2,classification,sub19,sub19,sub19,EP13_01,EP13_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP13_01,available,48,.jpg
casme2__sub19__EP16_01,casme2,classification,sub19,sub19,sub19,EP16_01,EP16_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP16_01,available,51,.jpg
casme2__sub19__EP16_02,casme2,classification,sub19,sub19,sub19,EP16_02,EP16_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP16_02,available,41,.jpg
casme2__sub19__EP19_02,casme2,classification,sub19,sub19,sub19,EP19_02,EP19_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP19_02,available,46,.jpg
casme2__sub19__EP19_03,casme2,classification,sub19,sub19,sub19,EP19_03,EP19_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub19/EP19_03,available,44,.jpg
casme2__sub20__EP01_03,casme2,classification,sub20,sub20,sub20,EP01_03,EP01_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub20/EP01_03,available,51,.jpg
casme2__sub20__EP06_03,casme2,classification,sub20,sub20,sub20,EP06_03,EP06_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub20/EP06_03,available,31,.jpg
casme2__sub21__EP05_02,casme2,classification,sub21,sub21,sub21,EP05_02,EP05_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub21/EP05_02,available,50,.jpg
casme2__sub22__EP01_12,casme2,classification,sub22,sub22,sub22,EP01_12,EP01_12,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub22/EP01_12,available,44,.jpg
casme2__sub22__EP13_08,casme2,classification,sub22,sub22,sub22,EP13_08,EP13_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub22/EP13_08,available,50,.jpg
casme2__sub23__EP02_01,casme2,classification,sub23,sub23,sub23,EP02_01,EP02_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP02_01,available,50,.jpg
casme2__sub23__EP03_14f,casme2,classification,sub23,sub23,sub23,EP03_14f,EP03_14f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP03_14f,available,50,.jpg
casme2__sub23__EP04_03f,casme2,classification,sub23,sub23,sub23,EP04_03f,EP04_03f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP04_03f,available,44,.jpg
casme2__sub23__EP05_24f,casme2,classification,sub23,sub23,sub23,EP05_24f,EP05_24f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP05_24f,available,44,.jpg
casme2__sub23__EP05_25f,casme2,classification,sub23,sub23,sub23,EP05_25f,EP05_25f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP05_25f,available,43,.jpg
casme2__sub23__EP12_02f,casme2,classification,sub23,sub23,sub23,EP12_02f,EP12_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP12_02f,available,42,.jpg
casme2__sub23__EP12_03,casme2,classification,sub23,sub23,sub23,EP12_03,EP12_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP12_03,available,49,.jpg
casme2__sub23__EP13_04,casme2,classification,sub23,sub23,sub23,EP13_04,EP13_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub23/EP13_04,available,44,.jpg
casme2__sub24__EP01_08,casme2,classification,sub24,sub24,sub24,EP01_08,EP01_08,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub24/EP01_08,available,55,.jpg
casme2__sub24__EP02_02f,casme2,classification,sub24,sub24,sub24,EP02_02f,EP02_02f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub24/EP02_02f,available,36,.jpg
casme2__sub24__EP18_03,casme2,classification,sub24,sub24,sub24,EP18_03,EP18_03,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub24/EP18_03,available,36,.jpg
casme2__sub25__EP09_02,casme2,classification,sub25,sub25,sub25,EP09_02,EP09_02,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub25/EP09_02,available,36,.jpg
casme2__sub25__EP10_01,casme2,classification,sub25,sub25,sub25,EP10_01,EP10_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub25/EP10_01,available,44,.jpg
casme2__sub25__EP10_10,casme2,classification,sub25,sub25,sub25,EP10_10,EP10_10,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub25/EP10_10,available,55,.jpg
casme2__sub25__EP12_01,casme2,classification,sub25,sub25,sub25,EP12_01,EP12_01,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub25/EP12_01,available,55,.jpg
casme2__sub25__EP18_04f,casme2,classification,sub25,sub25,sub25,EP18_04f,EP18_04f,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub25/EP18_04f,available,39,.jpg
casme2__sub26__EP03_10,casme2,classification,sub26,sub26,sub26,EP03_10,EP03_10,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub26/EP03_10,available,44,.jpg
casme2__sub26__EP09_04,casme2,classification,sub26,sub26,sub26,EP09_04,EP09_04,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub26/EP09_04,available,44,.jpg
casme2__sub26__EP09_09,casme2,classification,sub26,sub26,sub26,EP09_09,EP09_09,D:/揭榜挂帅专项赛数据集/数据集/心理/CASME2/Cropped/sub26/EP09_09,available,39,.jpg
